Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"First Steps in Differential Geometry","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4614-7732-7","Andrew McInerney","2013","http://link.springer.com/book/10.1007/978-1-4614-7732-7","Book"
"Elementary Number Theory: Primes, Congruences, and Secrets","Undergraduate Texts in Mathematics","","","","10.1007/b13279","William Stein","2009","http://link.springer.com/book/10.1007/b13279","Book"
"Optimization Techniques","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4613-9458-7","L. R. Foulds","1981","http://link.springer.com/book/10.1007/978-1-4613-9458-7","Book"
"Elements of Algebra","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4757-3976-3","John Stillwell","1994","http://link.springer.com/book/10.1007/978-1-4757-3976-3","Book"
"Linear Algebra","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-0901-0","Robert J. Valenza","1993","http://link.springer.com/book/10.1007/978-1-4612-0901-0","Book"
"From Fermat to Minkowski","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4757-1867-6","Winfried ScharlauHans Opolka","1985","http://link.springer.com/book/10.1007/978-1-4757-1867-6","Book"
"A Course in Multivariable Calculus and Analysis","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4419-1621-1","Sudhir R. GhorpadeBalmohan V. Limaye","2010","http://link.springer.com/book/10.1007/978-1-4419-1621-1","Book"
"Complex Analysis","Undergraduate Texts in Mathematics","","","","10.1007/978-0-387-21607-2","Theodore W. Gamelin","2001","http://link.springer.com/book/10.1007/978-0-387-21607-2","Book"
"Mathematics and Its History","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4684-9281-1","John Stillwell","2002","http://link.springer.com/book/10.1007/978-1-4684-9281-1","Book"
"The Fundamental Theorem of Algebra","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-1928-6","Benjamin FineGerhard Rosenberger","1997","http://link.springer.com/book/10.1007/978-1-4612-1928-6","Book"
"A Brief on Tensor Analysis","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4684-0141-7","James G. Simmonds","1982","http://link.springer.com/book/10.1007/978-1-4684-0141-7","Book"
"Conics and Cubics","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4757-2975-7","Robert Bix","1998","http://link.springer.com/book/10.1007/978-1-4757-2975-7","Book"
"Undergraduate Analysis","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4757-1801-0","Serge Lang","1983","http://link.springer.com/book/10.1007/978-1-4757-1801-0","Book"
"Numbers and Geometry","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-0687-3","John Stillwell","1998","http://link.springer.com/book/10.1007/978-1-4612-0687-3","Book"
"Proofs and Fundamentals","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4419-7127-2","Ethan D. Bloch","2011","http://link.springer.com/book/10.1007/978-1-4419-7127-2","Book"
"Factorization and Primality Testing","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-4544-5","David M. Bressoud","1989","http://link.springer.com/book/10.1007/978-1-4612-4544-5","Book"
"Introduction to Cryptography","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4684-0496-8","Johannes A. Buchmann","2001","http://link.springer.com/book/10.1007/978-1-4684-0496-8","Book"
"Groups and Symmetry","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4757-4034-9","M. A. Armstrong","1988","http://link.springer.com/book/10.1007/978-1-4757-4034-9","Book"
"Algebraic Combinatorics","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4614-6998-8","Richard P. Stanley","2013","http://link.springer.com/book/10.1007/978-1-4614-6998-8","Book"
"Linear Algebra","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-4298-7","Klaus Jänich","1994","http://link.springer.com/book/10.1007/978-1-4612-4298-7","Book"
"Dynamic Topology","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4684-6262-3","Gordon WhyburnEdwin Duda","1979","http://link.springer.com/book/10.1007/978-1-4684-6262-3","Book"
"Geometry: Plane and Fancy","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-0607-1","David A. Singer","1998","http://link.springer.com/book/10.1007/978-1-4612-0607-1","Book"
"Reading, Writing, and Proving","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4419-9479-0","Ulrich DaeppPamela Gorkin","2011","http://link.springer.com/book/10.1007/978-1-4419-9479-0","Book"
"Mathematical Biology","Undergraduate Texts in Mathematics","","","","10.1007/978-0-387-70984-0","Ronald W. ShonkwilerJames Herod","2009","http://link.springer.com/book/10.1007/978-0-387-70984-0","Book"
"Linear Optimization","Undergraduate Texts in Mathematics","","","","10.1007/978-0-387-79148-7","Glenn Hurlbert","2010","http://link.springer.com/book/10.1007/978-0-387-79148-7","Book"
"Calculus of Several Variables","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4612-1068-9","Serge Lang","1987","http://link.springer.com/book/10.1007/978-1-4612-1068-9","Book"
"Elementary Analysis: The Theory of Calculus","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4757-3971-8","Kenneth A. Ross","1980","http://link.springer.com/book/10.1007/978-1-4757-3971-8","Book"
"Counting: The Art of Enumerative Combinatorics","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4757-4878-9","George E. Martin","2001","http://link.springer.com/book/10.1007/978-1-4757-4878-9","Book"
"Applied Abstract Algebra","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4757-2941-2","Rudolf LidlGünter Pilz","1998","http://link.springer.com/book/10.1007/978-1-4757-2941-2","Book"
"A First Course in Differential Equations","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4419-7592-8","J. David Logan","2011","http://link.springer.com/book/10.1007/978-1-4419-7592-8","Book"
"The Art of Proof","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4419-7023-7","Matthias BeckRoss Geoghegan","2010","http://link.springer.com/book/10.1007/978-1-4419-7023-7","Book"
"Applied Abstract Algebra","Undergraduate Texts in Mathematics","","","","10.1007/978-1-4615-6465-2","Rudolf LidlGünter Pilz","1984","http://link.springer.com/book/10.1007/978-1-4615-6465-2","Book"
