Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Applied Probability and Stochastic Processes","International Series in Operations Research & Management Science","","","","10.1007/978-1-4615-5191-1","J. G. ShanthikumarUshio Sumita","1999","http://link.springer.com/book/10.1007/978-1-4615-5191-1","Book"
"Risk Analysis in Stochastic Supply Chains","International Series in Operations Research & Management Science","","","","10.1007/978-1-4614-3869-4","Tsan-Ming ChoiChun-Hung Chiu","2012","http://link.springer.com/book/10.1007/978-1-4614-3869-4","Book"
"Models, Methods, Concepts & Applications of the Analytic Hierarchy Process","International Series in Operations Research & Management Science","","","","10.1007/978-1-4615-1665-1","Thomas L. SaatyLuis G. Vargas","2001","http://link.springer.com/book/10.1007/978-1-4615-1665-1","Book"
"Patient Flow","International Series in Operations Research & Management Science","","","","10.1007/978-1-4614-9512-3","Randolph Hall","2013","http://link.springer.com/book/10.1007/978-1-4614-9512-3","Book"
"HUMAN LEARNING: From Learning Curves to Learning Organizations","International Series in Operations Research & Management Science","","","","10.1007/978-1-4757-3113-2","Ezey M. Dar-Ei","2000","http://link.springer.com/book/10.1007/978-1-4757-3113-2","Book"
"Analysis of Queueing Networks with Blocking","International Series in Operations Research & Management Science","","","","10.1007/978-1-4757-3345-7","Simonetta BalsamoVittoria de Nitto PersonéRaif Onvural","2001","http://link.springer.com/book/10.1007/978-1-4757-3345-7","Book"
"Measuring Time","International Series in Operations Research & Management Science","","","","10.1007/978-1-4419-1014-1","Mario Vanhoucke","2009","http://link.springer.com/book/10.1007/978-1-4419-1014-1","Book"
"Aiding Decisions with Multiple Criteria","International Series in Operations Research & Management Science","","","","10.1007/978-1-4615-0843-4","Denis BouyssouEric Jacquet-LagrèzePatrice PernyRoman SłowińskiDaniel VanderpootenPhilippe Vincke","2002","http://link.springer.com/book/10.1007/978-1-4615-0843-4","Book"
"Nested Partitions Method, Theory and Applications","International Series in Operations Research & Management Science","","","","10.1007/978-0-387-71909-2","Leyuan ShiSigurdur Ólafsson","2009","http://link.springer.com/book/10.1007/978-0-387-71909-2","Book"
"Inventory Control","International Series in Operations Research & Management Science","","","","10.1007/978-1-4757-5606-7","Sven Axsäter","2000","http://link.springer.com/book/10.1007/978-1-4757-5606-7","Book"
"Foundations of Queueing Theory","International Series in Operations Research & Management Science","","","","10.1007/978-1-4615-6205-4","N. U. Prabhu","1997","http://link.springer.com/book/10.1007/978-1-4615-6205-4","Book"
"Practical Goal Programming","International Series in Operations Research & Management Science","","","","10.1007/978-1-4419-5771-9","Dylan JonesMehrdad Tamiz","2010","http://link.springer.com/book/10.1007/978-1-4419-5771-9","Book"
"Handbook of Newsvendor Problems","International Series in Operations Research & Management Science","","","","10.1007/978-1-4614-3600-3","Tsan-Ming Choi","2012","http://link.springer.com/book/10.1007/978-1-4614-3600-3","Book"
"Profiles in Operations Research","International Series in Operations Research & Management Science","","","","10.1007/978-1-4419-6281-2","Arjang A. AssadSaul I. Gass","2011","http://link.springer.com/book/10.1007/978-1-4419-6281-2","Book"
"Stochastic Modeling and Optimization of Manufacturing Systems and Supply Chains","International Series in Operations Research & Management Science","","","","10.1007/978-1-4615-0373-6","J. George ShanthikumarDavid D. YaoW. Henk M. Zijm","2003","http://link.springer.com/book/10.1007/978-1-4615-0373-6","Book"
"Handbook of Healthcare Operations Management","International Series in Operations Research & Management Science","","","","10.1007/978-1-4614-5885-2","Brian T. Denton","2013","http://link.springer.com/book/10.1007/978-1-4614-5885-2","Book"
"Engineering Risk and Finance","International Series in Operations Research & Management Science","","","","10.1007/978-1-4614-6234-7","Charles S. Tapiero","2013","http://link.springer.com/book/10.1007/978-1-4614-6234-7","Book"
"Multicriteria Decision Making","International Series in Operations Research & Management Science","","","","10.1007/978-1-4615-5025-9","Tomas GalTheodor J. StewartThomas Hanne","1999","http://link.springer.com/book/10.1007/978-1-4615-5025-9","Book"
"Handbook of Healthcare System Scheduling","International Series in Operations Research & Management Science","","","","10.1007/978-1-4614-1734-7","Randolph Hall","2012","http://link.springer.com/book/10.1007/978-1-4614-1734-7","Book"
"Intelligent Support Systems for Marketing Decisions","International Series in Operations Research & Management Science","","","","10.1007/978-1-4615-1147-2","Nikolaos F. MatsatsinisYannis Siskos","2003","http://link.springer.com/book/10.1007/978-1-4615-1147-2","Book"
"Linear Programming","International Series in Operations Research & Management Science","","","","10.1007/978-1-4615-2311-6","Romesh Saigal","1995","http://link.springer.com/book/10.1007/978-1-4615-2311-6","Book"
"Mathematical and Computational Modeling of Tonality","International Series in Operations Research & Management Science","","","","10.1007/978-1-4614-9475-1","Elaine Chew","2014","http://link.springer.com/book/10.1007/978-1-4614-9475-1","Book"
